event_id,date,event_time,source,event_type,agent,counterparty,channel,ticker,side,shares,price,notional,cash,equity,pnl,pnl_pct,detail,payload
7095,2023-02-13,2023-02-13 11:28:15,portfolio,trade,SocialGraphAgent,,,GAMMA,SELL,41,43.4725,1782.3725,12342.705237800015,60569.41803780002,-39430.58196219998,-0.39430581962199984,"SELL 41 GAMMA @ 43.47，成交额 1,782.37，手续费 1.78","{""date"": ""2023-02-13"", ""agent"": ""SocialGraphAgent"", ""ticker"": ""GAMMA"", ""side"": ""SELL"", ""shares"": 41, ""price"": 43.4725, ""fee"": 1.7823725, ""note"": ""社交图谱型：按有向图影响力混合团队与通信信念。"", ""notional"": 1782.3725, ""cash_after"": 12342.705237800015, ""equity_after"": 60569.41803780002}"
7096,2023-02-13,2023-02-13 11:28:16,portfolio,trade,SocialGraphAgent,,,OMEGA,BUY,201,49.2004,9889.2804,2443.535557400015,60559.52875740001,-39440.47124259999,-0.39440471242599995,"BUY 201 OMEGA @ 49.20，成交额 9,889.28，手续费 9.89","{""date"": ""2023-02-13"", ""agent"": ""SocialGraphAgent"", ""ticker"": ""OMEGA"", ""side"": ""BUY"", ""shares"": 201, ""price"": 49.2004, ""fee"": 9.8892804, ""note"": ""社交图谱型：按有向图影响力混合团队与通信信念。"", ""notional"": 9889.2804, ""cash_after"": 2443.535557400015, ""equity_after"": 60559.52875740001}"
7097,2023-02-13,2023-02-13 11:28:17,portfolio,trade,SocialGraphAgent,,,SIGMA,SELL,6,111.8437,671.0622,3113.926695200015,60558.857695200015,-39441.142304799985,-0.3944114230479998,SELL 6 SIGMA @ 111.84，成交额 671.06，手续费 0.67,"{""date"": ""2023-02-13"", ""agent"": ""SocialGraphAgent"", ""ticker"": ""SIGMA"", ""side"": ""SELL"", ""shares"": 6, ""price"": 111.8437, ""fee"": 0.6710621999999999, ""note"": ""社交图谱型：按有向图影响力混合团队与通信信念。"", ""notional"": 671.0622, ""cash_after"": 3113.926695200015, ""equity_after"": 60558.857695200015}"
7098,2023-02-13,2023-02-13 11:28:18,portfolio,pnl_snapshot,MomentumAgent,,,,,0,0.0,0.0,4784.369123500019,87905.51822350001,-12094.48177649999,-0.12094481776499988,"PnL -12,094.48 (-12.09%)，持仓 GAMMA:708, OMEGA:625, BETA:262, ALPHA:75","{""positions"": {""ALPHA"": 75, ""BETA"": 262, ""DELTA"": 40, ""GAMMA"": 708, ""OMEGA"": 625, ""SIGMA"": 0}}"
7099,2023-02-13,2023-02-13 11:28:19,portfolio,pnl_snapshot,MeanReversionAgent,,,,,0,0.0,0.0,8419.4025087,41462.01530870001,-58537.98469129999,-0.5853798469129999,"PnL -58,537.98 (-58.54%)，持仓 ALPHA:316, DELTA:110, OMEGA:91, GAMMA:44","{""positions"": {""ALPHA"": 316, ""BETA"": 0, ""DELTA"": 110, ""GAMMA"": 44, ""OMEGA"": 91, ""SIGMA"": 0}}"
7100,2023-02-13,2023-02-13 11:28:20,portfolio,pnl_snapshot,LowVolatilityAgent,,,,,0,0.0,0.0,13232.730138599993,77250.61723859998,-22749.38276140002,-0.22749382761400017,"PnL -22,749.38 (-22.75%)，持仓 GAMMA:623, OMEGA:552, ALPHA:148, BETA:57","{""positions"": {""ALPHA"": 148, ""BETA"": 57, ""DELTA"": 0, ""GAMMA"": 623, ""OMEGA"": 552, ""SIGMA"": 0}}"
7101,2023-02-13,2023-02-13 11:28:21,portfolio,pnl_snapshot,DrawdownBuyerAgent,,,,,0,0.0,0.0,3721.1380498000076,57141.84504980001,-42858.15495019999,-0.4285815495019999,"PnL -42,858.15 (-42.86%)，持仓 OMEGA:397, GAMMA:212, ALPHA:177, SIGMA:125","{""positions"": {""ALPHA"": 177, ""BETA"": 28, ""DELTA"": 10, ""GAMMA"": 212, ""OMEGA"": 397, ""SIGMA"": 125}}"
7102,2023-02-13,2023-02-13 11:28:22,portfolio,pnl_snapshot,RandomAgent,,,,,0,0.0,0.0,13773.199021600012,64652.210421600015,-35347.789578399985,-0.3534778957839998,"PnL -35,347.79 (-35.35%)，持仓 GAMMA:221, ALPHA:185, OMEGA:180, SIGMA:158","{""positions"": {""ALPHA"": 185, ""BETA"": 92, ""DELTA"": 13, ""GAMMA"": 221, ""OMEGA"": 180, ""SIGMA"": 158}}"
7103,2023-02-13,2023-02-13 11:28:23,portfolio,pnl_snapshot,CommitteeTeamAgent,,,,,0,0.0,0.0,3168.7077447000097,63514.933744700014,-36485.066255299986,-0.3648506625529998,"PnL -36,485.07 (-36.49%)，持仓 GAMMA:431, OMEGA:380, ALPHA:244, BETA:52","{""positions"": {""ALPHA"": 244, ""BETA"": 52, ""DELTA"": 48, ""GAMMA"": 431, ""OMEGA"": 380, ""SIGMA"": 33}}"
7104,2023-02-13,2023-02-13 11:28:24,portfolio,pnl_snapshot,DynamicTeamAgent,,,,,0,0.0,0.0,3164.899507700015,63345.00280770002,-36654.99719229998,-0.3665499719229999,"PnL -36,655.00 (-36.65%)，持仓 GAMMA:429, OMEGA:378, ALPHA:248, BETA:51","{""positions"": {""ALPHA"": 248, ""BETA"": 51, ""DELTA"": 48, ""GAMMA"": 429, ""OMEGA"": 378, ""SIGMA"": 32}}"
