date,agent,ticker,side,shares,price,fee,note,notional,cash_after,equity_after
2021-05-14,PersuaderAgent,601899,BUY,3034,11.06,33.55604,PersuaderAgent: own strategy blended with communicated beliefs.,33556.04,5360.144689999994,99905.45468999998
2021-05-14,FreeRiderAgent,002415,BUY,576,60.69,34.957440000000005,FreeRiderAgent: own strategy blended with communicated beliefs.,34957.44,65007.60256,99965.04256
2021-05-14,FreeRiderAgent,601899,BUY,3164,11.06,34.993840000000006,FreeRiderAgent: own strategy blended with communicated beliefs.,34993.840000000004,29978.768719999993,99930.04871999999
2021-05-14,ContrarianAgent,000002,BUY,335,27.07,9.06845,ContrarianAgent: own strategy blended with communicated beliefs.,9068.45,90922.48155,99990.93155
2021-05-14,ContrarianAgent,000333,BUY,180,76.44,13.7592,ContrarianAgent: own strategy blended with communicated beliefs.,13759.199999999999,77149.52235,99977.17235000001
2021-05-14,ContrarianAgent,000858,BUY,28,287.0,8.036,ContrarianAgent: own strategy blended with communicated beliefs.,8036.0,69105.48634999999,99969.13634999999
2021-05-14,ContrarianAgent,002415,BUY,64,60.69,3.88416,ContrarianAgent: own strategy blended with communicated beliefs.,3884.16,65217.442189999994,99965.25219
2021-05-14,ContrarianAgent,002594,BUY,139,153.53,21.340670000000003,ContrarianAgent: own strategy blended with communicated beliefs.,21340.670000000002,43855.43151999999,99943.91152
2021-05-14,ContrarianAgent,300750,BUY,17,359.0,6.103,ContrarianAgent: own strategy blended with communicated beliefs.,6103.0,37746.32851999999,99937.80851999999
2021-05-14,ContrarianAgent,600036,BUY,11,54.98,0.60478,ContrarianAgent: own strategy blended with communicated beliefs.,604.78,37140.94373999999,99937.20373999998
2021-05-14,ContrarianAgent,600519,BUY,5,2009.85,10.04925,ContrarianAgent: own strategy blended with communicated beliefs.,10049.25,27081.644489999988,99927.15448999999
2021-05-14,ContrarianAgent,601318,BUY,123,71.18,8.75514,ContrarianAgent: own strategy blended with communicated beliefs.,8755.140000000001,18317.749349999987,99918.39934999998
2021-05-14,ContrarianAgent,601899,BUY,1043,11.06,11.53558,ContrarianAgent: own strategy blended with communicated beliefs.,11535.58,6770.633769999988,99906.86376999998
2021-05-14,SocialGraphAgent,000002,BUY,172,27.07,4.65604,社交图谱型：按有向图影响力混合团队与通信信念。,4656.04,95339.30396,99995.34396
2021-05-14,SocialGraphAgent,000333,BUY,91,76.44,6.95604,社交图谱型：按有向图影响力混合团队与通信信念。,6956.04,88376.30792,99988.38792000001
